url_origem,acao,destino,observacao
"http://www.misoftware.com.br/","301","https://www.misoftware.com.br/","Canonicalização de protocolo"
"https://www.misoftware.com.br/","200","https://www.misoftware.com.br/","URL canônica"
"http://misoftware.com.br/","301","https://www.misoftware.com.br/","Canonicalização de raiz"
"http://misoftware.com.br/Bootstrap","410","/arquivo/bootstrap","Rota técnica com backlink ativo; aguarda página equivalente e validação de titularidade"
"http://misoftware.com.br/Bootstrap/Download","410","/arquivo/bootstrap","Rota técnica com backlink ativo; aguarda página equivalente e validação de titularidade"
"http://misoftware.com.br/Bootstrap/Templates","410","/arquivo/bootstrap","Rota técnica com backlink ativo; aguarda página equivalente e validação de titularidade"
"http://misoftware.com.br/Home/Post/ATCommander","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/Antlr4Code","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/FDVideo","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/FrontExperiments","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/IconBundler","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/Many-updates","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OSX_Buttons","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OmniCode-V1.1","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OmniCode2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OmniCodeV1-2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OmniCodeV1-3","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OmniLite","410","/arquivo/omnilite","Exige página equivalente e validação de titularidade"
"http://misoftware.com.br/Home/Post/OmniLite-OpenSource","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OmniV1-4","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OmniV22","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/OmniView","410","/arquivo/omniview","Rota técnica com backlink ativo; aguarda página equivalente e validação de titularidade"
"http://misoftware.com.br/Home/Post/OpenWeatherMap_StatiosExplorer","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/Outpost-2-Divided-Destiny","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/Samples4005","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/SciterEvents","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/SciterSharp","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/SciterSharp2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/SciterSharpForums","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/Search-text-UI","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/SurveyPrize","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/TAB-AutoCall","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/TheForce","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/TheLibrary","410","/arquivo/the-library","Rota técnica com backlink ativo; aguarda página equivalente e validação de titularidade"
"http://misoftware.com.br/Home/Post/WednesdayCODE-Intro","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/WednesdayCODE1","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/WednesdayCODE2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/WednesdayCODE3","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/WednesdayCODE4","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/WednesdayCODE5","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/WinForms-Sciter","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Post/vivus-tis","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Tag/Wednesday%20CODE","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Home/Tag/Wednesday+CODE","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Omni","410","/arquivo/omni","Exige página equivalente e validação de titularidade"
"http://misoftware.com.br/OmniCode","410","/arquivo/omnicode","Exige página equivalente e validação de titularidade"
"http://misoftware.com.br/Post/ATCommander","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/AjaxLoaders","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Antlr4Code","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Bachelor-papers","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/BobSticker","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/CSSCtrlSpace","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/CardStack","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/ChamferJS","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/ChinaFix","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/DesignArsenal","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/FDVideo","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/FontDrop","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/GoingMultiplatform","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/HtmlView","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/IconBundler","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/IconDrop","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/IconDropSourceCode","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Inauguration","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/LibraryOSX","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Many-updates","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/NativeBehaviors","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OctoDeskdex","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Omni2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniCode2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniCodeV1-2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniCodeV1-3","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniCodeV1-4","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniFiddler","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniLite","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniV1-4","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniV1-5","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniView","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OmniViewUpdate","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OpenWeatherMap_StatiosExplorer","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/OpenWeatherMap_WeatherData","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Plenty-updates","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Samples4005","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Sciter-Bootstrap","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/SciterEvents","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/SciterSharp","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/SciterSharp2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/SciterSharpForums","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/SciterSharpWalkthrough","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/SciterTrick","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/Search-text-UI","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/SurveyWinner","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/TIScriptCtrlSpace","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/TheForce","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/TheLibrary","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/VS2017","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/WednesdayCODE1","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/WednesdayCODE2","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/WednesdayCODE3","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/WednesdayCODE4","410","","Rota legada sem equivalência editorial confirmada"
"http://misoftware.com.br/Post/WednesdayCODE5","410","","Rota legada sem equivalência editorial confirmada"
